,ru_name,poster,kp_rate,imbd_rate,kp_url,ID
130,Легенда о пианисте,https://kinopoiskapiunofficial.tech/images/posters/kp/8335.jpg,8.2,8.1,https://www.kinopoisk.ru/film/8335/,8335
131,Привидение,https://kinopoiskapiunofficial.tech/images/posters/kp/1991.jpg,8.2,8.2,https://www.kinopoisk.ru/film/1991/,1991
132,12 стульев,https://kinopoiskapiunofficial.tech/images/posters/kp/46789.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/46789/,46789
133,Танцующий с волками,https://kinopoiskapiunofficial.tech/images/posters/kp/2037.jpg,8.2,8.399999999999999,https://www.kinopoisk.ru/film/2037/,2037
134,Меня зовут Кхан,https://kinopoiskapiunofficial.tech/images/posters/kp/406340.jpg,8.1,8.0,https://www.kinopoisk.ru/film/406340/,406340
135,Афера,https://kinopoiskapiunofficial.tech/images/posters/kp/383.jpg,8.1,8.2,https://www.kinopoisk.ru/film/383/,383
136,Жизнь Дэвида Гейла,https://kinopoiskapiunofficial.tech/images/posters/kp/738.jpg,8.1,8.2,https://www.kinopoisk.ru/film/738/,738
137,Назад в будущее 3,https://kinopoiskapiunofficial.tech/images/posters/kp/7103.jpg,8.1,8.1,https://www.kinopoisk.ru/film/7103/,7103
138,Терминал,https://kinopoiskapiunofficial.tech/images/posters/kp/6877.jpg,8.1,8.0,https://www.kinopoisk.ru/film/6877/,6877
139,Рэй,https://kinopoiskapiunofficial.tech/images/posters/kp/5319.jpg,8.1,8.1,https://www.kinopoisk.ru/film/5319/,5319
140,Пираты Карибского моря: Сундук мертвеца,https://kinopoiskapiunofficial.tech/images/posters/kp/63991.jpg,8.1,8.0,https://www.kinopoisk.ru/film/63991/,63991
141,Умница Уилл Хантинг,https://kinopoiskapiunofficial.tech/images/posters/kp/539.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/539/,539
142,Шерлок Холмс и доктор Ватсон: Сокровища Агры,https://kinopoiskapiunofficial.tech/images/posters/kp/77264.jpg,8.1,8.2,https://www.kinopoisk.ru/film/77264/,77264
143,Славные парни,https://kinopoiskapiunofficial.tech/images/posters/kp/350.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/350/,350
144,Ледниковый период,https://kinopoiskapiunofficial.tech/images/posters/kp/707.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/707/,707
145,Головоломка,https://kinopoiskapiunofficial.tech/images/posters/kp/645118.jpg,8.1,8.2,https://www.kinopoisk.ru/film/645118/,645118
146,Самый быстрый Indian,https://kinopoiskapiunofficial.tech/images/posters/kp/81512.jpg,8.1,8.2,https://www.kinopoisk.ru/film/81512/,81512
147,Король говорит!,https://kinopoiskapiunofficial.tech/images/posters/kp/485311.jpg,8.1,8.0,https://www.kinopoisk.ru/film/485311/,485311
148,Душа,https://kinopoiskapiunofficial.tech/images/posters/kp/775273.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/775273/,775273
149,Лицо со шрамом,https://kinopoiskapiunofficial.tech/images/posters/kp/4695.jpg,8.1,8.0,https://www.kinopoisk.ru/film/4695/,4695
150,На несколько долларов больше,https://kinopoiskapiunofficial.tech/images/posters/kp/8190.jpg,8.1,8.0,https://www.kinopoisk.ru/film/8190/,8190
151,Нюрнбергский процесс,https://kinopoiskapiunofficial.tech/images/posters/kp/13738.jpg,8.1,8.1,https://www.kinopoisk.ru/film/13738/,13738
152,Остров сокровищ,https://kinopoiskapiunofficial.tech/images/posters/kp/573759.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/573759/,573759
153,Ромео и Джульетта,https://kinopoiskapiunofficial.tech/images/posters/kp/15204.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/15204/,15204
154,Блеф,https://kinopoiskapiunofficial.tech/images/posters/kp/10179.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/10179/,10179
155,Шерлок Холмс,https://kinopoiskapiunofficial.tech/images/posters/kp/420923.jpg,8.1,8.1,https://www.kinopoisk.ru/film/420923/,420923
156,Планета Ка-Пэкс,https://kinopoiskapiunofficial.tech/images/posters/kp/723.jpg,8.1,8.0,https://www.kinopoisk.ru/film/723/,723
157,Перед классом,https://kinopoiskapiunofficial.tech/images/posters/kp/428457.jpg,8.1,8.1,https://www.kinopoisk.ru/film/428457/,428457
158,Корпорация монстров,https://kinopoiskapiunofficial.tech/images/posters/kp/458.jpg,8.1,8.2,https://www.kinopoisk.ru/film/458/,458
159,Золотой телёнок,https://kinopoiskapiunofficial.tech/images/posters/kp/45389.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/45389/,45389
160,В случае убийства набирайте «М»,https://kinopoiskapiunofficial.tech/images/posters/kp/9028.jpg,8.1,8.2,https://www.kinopoisk.ru/film/9028/,9028
161,Амели,https://kinopoiskapiunofficial.tech/images/posters/kp/341.jpg,8.1,8.1,https://www.kinopoisk.ru/film/341/,341
162,Семь самураев,https://kinopoiskapiunofficial.tech/images/posters/kp/332.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/332/,332
163,Вечное сияние чистого разума,https://kinopoiskapiunofficial.tech/images/posters/kp/5492.jpg,8.1,8.299999999999999,https://www.kinopoisk.ru/film/5492/,5492
164,Бешеные псы,https://kinopoiskapiunofficial.tech/images/posters/kp/394.jpg,8.1,8.0,https://www.kinopoisk.ru/film/394/,394
165,Заплати другому,https://kinopoiskapiunofficial.tech/images/posters/kp/782.jpg,8.1,8.1,https://www.kinopoisk.ru/film/782/,782
166,"Три билборда на границе Эббинга, Миссури",https://kinopoiskapiunofficial.tech/images/posters/kp/944098.jpg,8.1,8.1,https://www.kinopoisk.ru/film/944098/,944098
167,Воин,https://kinopoiskapiunofficial.tech/images/posters/kp/442568.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/442568/,442568
168,Вам и не снилось...,https://kinopoiskapiunofficial.tech/images/posters/kp/45660.jpg,8.1,7.8999999999999995,https://www.kinopoisk.ru/film/45660/,45660
169,Апокалипсис сегодня,https://kinopoiskapiunofficial.tech/images/posters/kp/354.jpg,8.1,8.0,https://www.kinopoisk.ru/film/354/,354
